time,gFx,gFy,gFz,TgF,is_fall
26.4,-0.6693,-0.2879,-0.3448,0.81,0
26.5,-0.6221,-0.2608,-0.1736,0.7,0
26.6,-1.0314,-0.012,-0.5306,1.16,0
26.7,-1.3847,-0.0405,-0.8045,1.6,0
26.8,-0.8407,-0.0374,0.0903,0.85,0
26.9,-1.0392,-0.2722,-0.462,1.17,0
27,-0.6705,0.0437,-0.0503,0.67,0
27.1,-0.9454,-0.0344,-0.2473,0.98,0
27.2,-1.2015,-0.0371,-0.323,1.24,0
27.3,-1.2811,-0.1817,-0.4141,1.36,0
27.4,-0.8643,-0.451,0.1624,0.99,0
27.5,-1.0753,-0.0137,-0.3272,1.12,0
27.6,-0.7064,-0.1709,-0.2888,0.78,0
27.7,-0.7037,-0.2407,-0.1839,0.77,0
27.8,-1.12,-0.042,-0.5655,1.26,0
27.9,-1.2836,-0.3843,-0.4761,1.42,0
28,-0.9718,-0.449,0.1673,1.08,0
28.1,-0.8941,-0.0715,-0.3821,0.97,0
28.2,-0.7059,-0.1216,-0.023,0.72,0
28.3,-0.9525,-0.0501,-0.3413,1.01,0
28.4,-0.9833,0.0596,-0.1116,0.99,0
28.5,-1.2018,-0.1025,-0.3435,1.25,0
28.6,-0.8978,-0.5657,0.1189,1.07,0
28.7,-1.1273,-0.1367,-0.3521,1.19,0
28.8,-0.7071,-0.1819,-0.294,0.79,0
28.9,-0.6544,-0.1506,-0.2312,0.71,0
29,-0.9105,-0.0139,-0.449,1.02,0
29.1,-1.537,0.0715,-0.8929,1.78,0
29.2,-0.46,-0.5369,-0.0855,0.71,0
29.3,-1.2621,-0.0664,-0.4815,1.35,0
29.4,-0.6812,0.0015,-0.1004,0.69,0
29.5,-0.7823,-0.1419,-0.1846,0.82,0
29.6,-1.1339,0.0315,-0.5088,1.24,0
29.7,-1.4018,-0.0532,-0.2974,1.43,0
29.8,-0.8387,-0.3113,0.1162,0.9,0
29.9,-1.1046,-0.0159,-0.2564,1.13,0
30,-0.6771,-0.1968,-0.2527,0.75,0
30.1,-0.7393,-0.2574,-0.2356,0.82,0
30.2,-0.9234,-0.316,-0.4778,1.09,0
30.3,-0.7574,-0.4332,-0.7481,1.15,0
30.4,-1.0499,-0.1284,-0.2415,1.08,0
30.5,-1.1551,-0.4085,-0.1807,1.24,0
30.6,-0.8216,-0.1282,-0.1482,0.84,0
30.7,-0.7291,-0.0874,-0.0452,0.74,0
30.8,-0.9408,-0.0574,-0.4439,1.04,0
30.9,-1.214,0.2005,-0.7105,1.42,0
31,-1.1097,-0.1387,-0.3186,1.16,0
31.1,-1.317,-0.3316,-0.1599,1.37,0
31.2,-0.8556,-0.1753,-0.3345,0.94,0
31.3,-0.6302,-0.0515,-0.2478,0.68,0
31.4,-0.7476,-0.0867,-0.471,0.89,0
31.5,-1.1698,-0.1953,-0.8158,1.44,0
31.6,-1.0712,-0.5113,-0.3262,1.23,0
31.7,-1.2535,-0.3037,-0.0085,1.29,0
31.8,-0.7603,-0.0032,-0.2788,0.81,0
31.9,-0.6881,-0.1448,-0.0161,0.7,0
32,-0.9481,0.0935,-0.3824,1.03,0
32.1,-1.1466,0.0527,-0.4024,1.22,0
32.2,-1.2894,-0.0381,-0.3345,1.33,0
32.3,-1.058,-0.5069,-0.0088,1.17,0
32.4,-0.9391,-0.0745,-0.292,0.99,0
32.5,-0.628,-0.0823,-0.2405,0.68,0
32.6,-0.7564,-0.105,-0.3943,0.86,0
32.7,-1.0524,-0.3086,-0.4302,1.18,0
32.8,-1.173,-0.2698,-0.5469,1.32,0
32.9,-0.8817,-0.2356,-0.0066,0.91,0
33,-0.9076,-0.1594,-0.3899,1,0
33.1,-0.6531,-0.041,0.0068,0.65,0
33.2,-0.8607,0.0381,-0.4268,0.96,0
33.3,-1.1761,-0.0418,-0.3582,1.23,0
33.4,-1.4074,-0.0632,-0.4581,1.48,0
33.5,-0.7535,-0.4153,0.1533,0.87,0
33.6,-1.0741,-0.1091,-0.2136,1.1,0
33.7,-0.7628,-0.1282,-0.3767,0.86,0
33.8,-0.606,-0.231,-0.2166,0.68,0
33.9,-1.0812,-0.1524,-0.5269,1.21,0
34,-1.2367,-0.2891,-0.7491,1.47,0
34.1,-0.6927,-0.3577,0.052,0.78,0
34.2,-1.1595,-0.2867,-0.3453,1.24,0
34.3,-0.7918,0.0056,-0.0706,0.79,0
34.4,-0.7994,0.0188,-0.2647,0.84,0
34.5,-0.9486,-0.0483,-0.3059,1,0
34.6,-1.243,0.1135,-0.6414,1.4,0
34.7,-1.034,-0.2454,-0.4764,1.16,0
34.8,-1.1373,-0.2906,-0.1177,1.18,0
34.9,-0.7325,-0.3081,-0.2044,0.82,0
35,-0.701,-0.113,-0.1966,0.74,0
35.1,-0.7103,-0.1917,-0.3509,0.82,0
35.2,-1.1471,-0.5071,-0.6102,1.39,0
35.3,-1.0038,-0.4224,-0.3338,1.14,0
35.4,-0.6903,-0.3167,-0.0996,0.77,0
35.5,-1.0575,-0.3015,-0.5132,1.21,0
35.6,-0.7481,0.0215,-0.1221,0.76,0
35.7,-0.7557,-0.0972,-0.2571,0.8,0
35.8,-1.1193,-0.1238,-0.451,1.21,0
35.9,-1.3541,-0.1028,-0.5328,1.46,0
36,-0.8424,-0.3252,0.0911,0.91,0
36.1,-1.1761,-0.2278,-0.1055,1.2,0
36.2,-0.6675,-0.3394,-0.2356,0.79,0
36.3,-0.6263,-0.2578,-0.1724,0.7,0
36.4,-0.7655,-0.157,-0.5259,0.94,0
36.5,-1.2052,-0.1365,-1.1014,1.64,0
36.6,-1.0316,-0.4085,-0.2388,1.13,0
36.7,-1.0563,-0.4119,-0.0547,1.14,0
36.8,-0.8043,-0.0833,-0.2925,0.86,0
36.9,-0.6492,-0.2158,-0.1001,0.69,0
37,-0.8819,-0.0881,-0.4097,0.98,0
37.1,-1.172,0.2178,-0.4009,1.26,0
37.2,-1.3053,-0.0806,-0.2945,1.34,0
37.3,-1.171,-0.4742,-0.0608,1.26,0
37.4,-0.7398,-0.1196,-0.2029,0.78,0
37.5,-0.6583,-0.0925,-0.357,0.75,0
37.6,-0.7677,-0.2473,-0.4412,0.92,0
37.7,-1.2057,-0.5179,-0.7918,1.53,0
37.8,-1.0482,-0.649,-0.2786,1.26,0
37.9,-1.0355,-0.448,-0.0183,1.13,0
38,-0.8094,-0.0872,-0.3147,0.87,0
38.1,-0.6678,-0.1438,-0.0879,0.69,0
38.2,-0.9164,-0.0952,-0.4927,1.04,0
38.3,-0.984,0.0376,-0.3064,1.03,0
38.4,-1.2421,-0.0444,-0.3203,1.28,0
