time,x,y,z,TgF
24.0020,-0.2259,0.1333,0.8558,0.90
24.1020,-0.6192,0.1355,0.9825,1.17
24.2020,-0.3213,0.0469,0.8314,0.89
24.3030,-0.3904,0.2710,0.4476,0.65
24.4030,-0.3702,0.2324,0.6397,0.77
24.5040,-0.5294,0.1917,1.0863,1.22
24.6040,-0.4375,0.2085,1.3231,1.41
24.7040,-0.3206,0.2041,0.6246,0.73
24.8040,-0.3348,-0.0208,1.1954,1.24
24.9050,-0.1775,0.1406,0.6756,0.71
25.0050,-0.3123,0.1384,0.9659,1.02
25.1050,-0.3448,0.2132,1.0108,1.09
25.2050,-0.4473,0.2007,1.1647,1.26
25.3060,-0.3416,0.0957,0.9916,1.05
25.4060,-0.2881,0.1768,0.5638,0.66
25.5060,-0.5074,-0.0146,1.4010,1.49
25.6060,-0.4192,0.1472,0.6634,0.80
25.7070,-0.4688,0.2769,0.5767,0.79
25.8070,-0.4656,0.2071,0.9493,1.08
25.9070,-0.4346,0.2830,0.9222,1.06
26.0080,-0.4483,0.1069,1.2660,1.35
26.1080,-0.4627,0.0708,0.9227,1.03
26.2080,-0.7364,0.0835,0.7984,1.09
26.3080,-0.3352,0.1499,0.6268,0.73
26.4080,-0.3821,0.2647,0.7965,0.92
26.5080,-0.3904,0.2407,1.0226,1.12
26.6090,-0.6343,0.2127,1.1647,1.34
26.7090,-0.3846,0.0547,1.2040,1.27
26.8090,-0.3238,0.1504,0.4920,0.61
26.9100,-0.4722,0.0508,1.1661,1.26
27.0100,-0.4576,0.1238,0.7252,0.87
27.1100,-0.4800,0.1978,0.5840,0.78
27.2110,-0.4837,0.1382,0.9088,1.04
27.3110,-0.7264,0.1485,1.1935,1.41
27.4110,-0.4622,-0.0103,1.2277,1.31
27.5120,-0.6744,0.0859,0.4959,0.84
27.6110,-0.2310,-0.1265,1.0670,1.10
27.7110,-0.2034,0.1409,0.7347,0.78
27.8120,-0.2400,0.2364,1.0221,1.08
27.9120,-0.3655,0.2332,1.0472,1.13
28.0120,-0.3890,-0.0466,1.4547,1.51
28.1120,-0.1553,0.0303,0.5452,0.57
28.2120,-0.6182,0.0542,0.9615,1.14
28.3130,-0.3955,0.0530,0.8285,0.92
28.4130,-0.4029,0.1226,0.7462,0.86
28.5130,-0.3916,-0.0056,1.1088,1.18
28.6130,-0.5005,0.0598,1.0003,1.12
28.7140,-0.3770,0.0598,0.9066,0.98
28.8140,-0.5806,0.0889,0.8590,1.04
28.9140,-0.5665,-0.0930,0.9032,1.07
29.0140,-0.4180,-0.0640,0.7791,0.89
29.1140,-0.5521,0.0278,0.8365,1.00
29.2140,-0.5272,-0.0300,0.9925,1.12
29.3150,-0.5418,-0.0122,0.8619,1.02
29.4150,-0.4817,-0.0105,0.8761,1.00
29.5150,-0.4224,-0.0671,1.0643,1.15
29.6150,-0.4224,0.0190,0.8267,0.93
29.7160,-0.4598,0.0501,1.0528,1.15
29.8160,-0.2786,0.1006,0.9120,0.96
29.9160,-0.2202,0.1958,0.9237,0.97
30.0170,-0.2193,0.2871,0.8807,0.95
30.1170,-0.2356,0.2915,0.9938,1.06
30.2170,-0.2044,0.3011,0.9063,0.98
30.3180,-0.2747,0.3003,0.9708,1.05
30.4180,-0.2539,0.3035,0.9115,0.99
30.5180,-0.1765,0.2654,0.9422,0.99
30.6190,-0.2049,0.3206,0.9378,1.01
30.7190,-0.2031,0.3059,0.9825,1.05
30.8200,-0.2263,0.2849,0.9845,1.05
30.9200,-0.2527,0.2732,0.9242,1.00
31.0200,-0.2486,0.2779,0.9278,1.00
31.1200,-0.1958,0.2559,0.9530,1.01
31.2200,-0.1778,0.2215,0.9776,1.02
31.3210,-0.2249,0.2320,0.9515,1.00
31.4210,-0.2603,0.2420,0.9627,1.03
31.5230,-0.2664,0.2508,0.9752,1.04
31.6230,-0.2622,0.2315,0.9693,1.03
31.7230,-0.2500,0.2158,0.9281,0.99
31.8230,-0.2530,0.2188,0.9342,0.99
31.9250,-0.2657,0.2322,0.9693,1.03
32.0250,-0.2376,0.2083,0.9820,1.03
32.1250,-0.2388,0.2019,0.9754,1.02
32.2250,-0.2427,0.2136,0.9571,1.01
32.3270,-0.2432,0.2129,0.9740,1.03
32.4270,-0.2298,0.2044,0.9500,1.00
32.5270,-0.2434,0.1958,0.9789,1.03
32.6270,-0.2583,0.1980,0.9603,1.01
32.7290,-0.2617,0.2009,0.9640,1.02
