x,y,z
-0.609421,-0.777588,-0.100113
-0.592972,-0.796829,-0.087204
-0.600372,-0.794418,-0.081909
-0.598557,-0.793976,-0.116745
-0.61821,-0.785583,-0.118973
-0.583374,-0.813904,-0.136765
-0.585648,-0.804947,-0.121948
-0.571411,-0.803101,-0.122894
-0.589096,-0.790848,-0.108505
-0.56308,-0.819473,-0.111023
-0.590744,-0.795105,-0.131805
-0.621109,-0.789581,-0.120285
-0.567276,-0.817703,-0.1315
-0.600754,-0.79306,-0.117538
-0.584518,-0.806152,-0.117935
-0.595078,-0.795609,-0.125031
-0.598663,-0.797409,-0.113419
-0.582504,-0.802612,-0.100464
-0.559906,-0.832596,-0.100174
-0.50473,-0.842896,-0.164673
-0.52713,-0.771164,-0.391159
-0.59523,-0.776779,-0.183868
-0.49321,-0.787735,-0.364288
-0.547974,-0.809784,-0.346939
-0.633041,-0.791946,-0.235168
-0.525055,-0.740845,0.005859
-0.593277,-0.851685,-0.038406
-0.593994,-0.793549,-0.06839
-0.587921,-0.777817,-0.027527
-0.632019,-0.807114,-0.094604
-0.631958,-0.796997,-0.08345
-0.619537,-0.759888,0.063309
-0.653275,-0.803177,-0.091461
-0.520996,-0.737152,0.000732
-0.47496,-0.801224,-0.256348
-0.611801,-0.966995,-0.231598
-0.555313,-0.75444,-0.247131
-0.575745,-0.75087,-0.204285
-0.619583,-0.731964,-0.36412
-0.661072,-0.716782,-0.256088
-0.637329,-0.835129,-0.199982
-0.465912,-0.753098,-0.073349
-0.613281,-0.873322,-0.069824
-0.553436,-0.816269,-0.052032
-0.514069,-0.847046,-0.16687
-0.601273,-0.834412,-0.094086
-0.598816,-0.783752,-0.04393
-0.577026,-0.800842,-0.057129
-0.48494,-0.837738,-0.053864
-0.642273,-0.952042,-0.176193
-0.447342,-0.75824,-0.18428
-0.585739,-0.796494,-0.097244
-0.608856,-0.861801,-0.139664
-0.555023,-0.805038,-0.167526
-0.565155,-0.797592,-0.043503
-0.561478,-0.786636,-0.051331
-0.661285,-0.87088,-0.07341
-0.614059,-0.776718,0.004196
-0.614258,-0.774902,-0.106003
-0.596344,-0.7771,-0.089127
-0.598633,-0.77565,-0.024139
-0.553375,-0.815292,-0.147858
